function	parse_run1_s	parse_run2_s	parse_run3_s	parse_median_s	parse_mean_s	eva_run1_s	eva_run2_s	eva_run3_s	eva_median_s	eva_mean_s	total_run1_s	total_run2_s	total_run3_s	total_median_s	total_mean_s	eva_max_rss_median_kib	all_runs_valid
root_s32_mul_s32_s16_fac_less1	1.10	1.05	1.04	1.05	1.06	1.02	0.87	0.85	0.87	0.91	2.12	1.92	1.89	1.92	1.98	133936.00	true
root_s32_mul_s32_s8_fac_less1	1.00	1.02	1.10	1.02	1.04	0.87	0.83	0.80	0.83	0.83	1.87	1.85	1.90	1.87	1.87	132556.00	true
root_s32_mul_s32_u16_fac_less1	1.03	1.03	0.99	1.03	1.02	0.80	0.80	0.84	0.80	0.81	1.83	1.83	1.83	1.83	1.83	133680.00	true
root_s32_mul_s32_u8_fac_less1	1.04	1.13	1.08	1.08	1.08	0.82	0.88	0.82	0.82	0.84	1.86	2.01	1.90	1.90	1.92	131860.00	true
root_u32_mul_u32_s16_fac_less1	1.06	1.36	1.03	1.06	1.15	0.77	0.82	0.86	0.82	0.82	1.83	2.18	1.89	1.89	1.97	132440.00	true
root_u32_mul_u32_s32_fac_less1	1.03	1.01	1.06	1.03	1.03	0.77	0.78	0.88	0.78	0.81	1.80	1.79	1.94	1.80	1.84	131912.00	true
root_u32_mul_u32_s8_fac_less1	1.03	1.02	1.12	1.03	1.06	0.78	0.76	0.82	0.78	0.79	1.81	1.78	1.94	1.81	1.84	131800.00	true
rotateLeft	1.14	0.81	0.76	0.81	0.90	6.58	6.38	6.54	6.54	6.50	7.72	7.19	7.30	7.30	7.40	158384.00	true
rotateRight	0.83	1.09	0.94	0.94	0.95	0.66	0.68	0.62	0.66	0.65	1.49	1.77	1.56	1.56	1.61	127228.00	true
s16_cos_u32	0.85	0.68	1.12	0.85	0.88	0.93	0.62	0.50	0.62	0.68	1.78	1.30	1.62	1.62	1.57	110320.00	true
s16_div_s32_s16	0.73	0.74	0.78	0.74	0.75	0.63	0.67	0.69	0.67	0.66	1.36	1.41	1.47	1.41	1.41	127752.00	true
s16_div_s32_u32	0.78	0.84	0.78	0.78	0.80	0.82	0.78	0.65	0.78	0.75	1.60	1.62	1.43	1.60	1.55	127032.00	true
s16_fac05_div_s16_s16	0.83	0.82	1.12	0.83	0.92	0.76	0.89	1.17	0.89	0.94	1.59	1.71	2.29	1.71	1.86	127284.00	true
s16_fac05_div_s16_u16	1.21	0.83	0.85	0.85	0.96	0.77	0.71	0.94	0.77	0.81	1.98	1.54	1.79	1.79	1.77	128036.00	true
s16_hip1_s16_s8_s8_u16_fac1	0.77	0.70	0.98	0.77	0.82	0.85	0.60	1.01	0.85	0.82	1.62	1.30	1.99	1.62	1.64	110680.00	true
s16_hip1_s16_u8_u8_u16_fac1	0.76	1.24	0.76	0.76	0.92	0.83	0.78	0.60	0.78	0.74	1.59	2.02	1.36	1.59	1.66	110884.00	true
s16_mmv_s16_s16_s16_fac1	0.78	0.83	0.86	0.83	0.82	0.62	0.69	0.73	0.69	0.68	1.40	1.52	1.59	1.52	1.50	126700.00	true
s16_mul_s16_s16_div_s16	0.88	0.81	0.73	0.81	0.81	0.78	0.60	0.61	0.61	0.66	1.66	1.41	1.34	1.41	1.47	127136.00	true
s16_mul_s16_s16_div_u16	0.95	0.88	0.87	0.88	0.90	0.67	0.73	0.74	0.73	0.71	1.62	1.61	1.61	1.61	1.61	127156.00	true
s16_mul_s16_u16_div_s16	0.77	0.78	0.75	0.77	0.77	0.67	0.69	0.61	0.67	0.66	1.44	1.47	1.36	1.44	1.42	127048.00	true
