function	parse_run1_s	parse_run2_s	parse_run3_s	parse_median_s	parse_mean_s	eva_run1_s	eva_run2_s	eva_run3_s	eva_median_s	eva_mean_s	total_run1_s	total_run2_s	total_run3_s	total_median_s	total_mean_s	eva_max_rss_median_kib	all_runs_valid
root_s32_mul_s32_s16_fac_less1	0.84	0.75	0.80	0.80	0.80	1.47	1.16	1.14	1.16	1.26	2.31	1.91	1.94	1.94	2.05	164200.00	true
root_s32_mul_s32_s8_fac_less1	0.76	0.87	0.99	0.87	0.87	3.24	3.74	3.51	3.51	3.50	4.00	4.61	4.50	4.50	4.37	190076.00	true
root_s32_mul_s32_u16_fac_less1	0.79	0.81	1.01	0.81	0.87	1.00	1.03	1.05	1.03	1.03	1.79	1.84	2.06	1.84	1.90	166496.00	true
root_s32_mul_s32_u8_fac_less1	0.79	0.96	0.88	0.88	0.88	0.99	1.15	1.07	1.07	1.07	1.78	2.11	1.95	1.95	1.95	153768.00	true
root_u32_mul_u32_s16_fac_less1	0.83	0.91	0.82	0.83	0.85	1.03	0.84	0.84	0.84	0.90	1.86	1.75	1.66	1.75	1.76	154172.00	true
root_u32_mul_u32_s32_fac_less1	0.86	0.82	0.84	0.84	0.84	0.82	0.76	0.74	0.76	0.77	1.68	1.58	1.58	1.58	1.61	145628.00	true
root_u32_mul_u32_s8_fac_less1	0.77	0.79	0.79	0.79	0.78	1.02	1.02	1.04	1.02	1.03	1.79	1.81	1.83	1.81	1.81	146072.00	true
rotateLeft	1.06	0.63	0.72	0.72	0.80	1443.09	1299.51	1262.44	1299.51	1335.01	1444.15	1300.14	1263.16	1300.14	1335.82	386900.00	true
rotateRight	0.79	0.69	0.67	0.69	0.72	0.64	0.51	0.51	0.51	0.55	1.43	1.20	1.18	1.20	1.27	127388.00	true
s16_cos_u32	0.52	0.55	0.57	0.55	0.55	0.43	0.50	0.44	0.44	0.46	0.95	1.05	1.01	1.01	1.00	110388.00	true
s16_div_s32_s16	0.62	0.64	0.69	0.64	0.65	3.28	3.24	3.20	3.24	3.24	3.90	3.88	3.89	3.89	3.89	157344.00	true
s16_div_s32_u32	0.62	0.66	0.63	0.63	0.64	2.40	2.36	2.44	2.40	2.40	3.02	3.02	3.07	3.02	3.04	166324.00	true
s16_fac05_div_s16_s16	0.71	0.75	0.72	0.72	0.73	6.25	5.98	5.93	5.98	6.05	6.96	6.73	6.65	6.73	6.78	176972.00	true
s16_fac05_div_s16_u16	0.74	0.63	0.69	0.69	0.69	9.09	9.19	9.96	9.19	9.41	9.83	9.82	10.65	9.83	10.10	194704.00	true
s16_hip1_s16_s8_s8_u16_fac1	0.55	0.58	0.54	0.55	0.56	0.75	0.72	0.69	0.72	0.72	1.30	1.30	1.23	1.30	1.28	126644.00	true
s16_hip1_s16_u8_u8_u16_fac1	0.56	0.54	0.52	0.54	0.54	0.58	0.57	0.57	0.57	0.57	1.14	1.11	1.09	1.11	1.11	110720.00	true
s16_mmv_s16_s16_s16_fac1	0.60	0.57	0.60	0.60	0.59	0.54	0.50	0.52	0.52	0.52	1.14	1.07	1.12	1.12	1.11	127324.00	true
s16_mul_s16_s16_div_s16	0.60	0.62	0.65	0.62	0.62	1.03	1.04	1.15	1.04	1.07	1.63	1.66	1.80	1.66	1.70	135940.00	true
s16_mul_s16_s16_div_u16	0.63	0.65	0.63	0.63	0.64	0.97	0.99	0.96	0.97	0.97	1.60	1.64	1.59	1.60	1.61	134860.00	true
s16_mul_s16_u16_div_s16	0.71	0.70	0.62	0.70	0.68	1.61	1.27	1.33	1.33	1.40	2.32	1.97	1.95	1.97	2.08	140696.00	true
s16_mul_s16_u16_fac025	0.76	0.80	0.77	0.77	0.78	0.64	0.66	0.64	0.64	0.65	1.40	1.46	1.41	1.41	1.42	131424.00	true
s16_mul_u16_s16_div_u16	0.61	0.61	0.65	0.61	0.62	0.98	0.99	1.02	0.99	1.00	1.59	1.60	1.67	1.60	1.62	135488.00	true
s16_sin_u32	0.51	0.50	0.73	0.51	0.58	0.43	0.42	0.50	0.43	0.45	0.94	0.92	1.23	0.94	1.03	110400.00	true
s16_tan_u32	0.53	0.54	0.50	0.53	0.52	0.43	0.42	0.43	0.43	0.43	0.96	0.96	0.93	0.96	0.95	110416.00	true
